about;около
his;его
said;сказал
world;мир
after;после
home;главная
same;одна и та же
would;бы
again;еще раз
house;дом
saw;увидел
write;записывать
air;воздух
how;как
say;сказать
year;год
all;все
see;видеть
you;вы
along;вдоль
if;если
she;она
your;ваш
also;также
in;в
should;должен
was;был
an;an
into;в
show;показать
able;в состоянии
and;а также
is;является
small;маленький
above;выше
another;другой
it;это
so;так
across;через
any;любые
its;его
some;некоторые
add;добавить
are;находятся
just;просто
something;что нибудь
against;против
around;вокруг
know;знать
sound;звук
ago;тому назад
as;в виде
large;большой
still;все еще
almost;почти
at;в
last;последний
such;такие
among;среди
away;далеко
left;оставил
take;принимать
animal;животное
back;назад
like;как
tell;рассказать
answer;ответ
be;быть
line;линия
than;чем
became;стал
because;потому как
little;немного
that;что
become;стали
been;было
long;длинный
the;the
began;начал
before;до
look;смотреть
them;их
behind;за
below;ниже
made;сделал
then;тогда
being;являющийся
between;между
make;делать
there;там
better;лучше
both;и то и другое
man;человек
these;эти
black;черный
but;но
many;многие
they;oни
best;лучший
by;от
may;май
thing;вещь
body;тело
came;пришел
me;меня
think;думать
book;книга
can;можно
men;люди
this;это
boy;мальчик
come;приехать
might;мог бы
those;те
brought;привел
could;мог
more;больше
thought;думал
call;вызов
day;день
most;большинство
three;три
cannot;не могу
did;сделал
mr.;мистер.
through;через
car;автомобиль
different;другой
must;должен
time;время
certain;определенный
do;делать
my;мой
to;в
change;изменение
does;делает
name;имя
together;вместе
children;дети
don't;не
never;никогда
too;слишком
city;город
down;вниз
new;новый
two;два
close;закрыть
each;каждый
next;следующий
under;под
cold;холодно
end;конец
no;нет
up;вверх
country;страна
even;даже
not;не
us;нас
course;курс
every;каждый
now;теперь
use;использование
cut;порез
few;мало
number;номер
very;очень
didn't;не
find;найти
of;из
want;хотеть
dog;собака
first;первый
off;от
water;воды
done;сделанный
for;для
old;старый
way;путь
door;дверь
found;найденный
on;на
we;мы
draw;привлечь
from;из
one;один
well;что ж
during;в течение
get;получить
only;только
went;отправился
early;рано
give;дайте
or;или
were;мы
earth;земля
go;идти
other;другие
what;какие
eat;есть
good;хорошо
our;наш
when;когда
enough;достаточно
great;великий
out;вне
where;где
ever;когда-либо
had;имел
over;над
which;который
example;пример
has;имеет
own;своя
while;в то время как
eye;глаз
have;иметь
part;часть
who;кто
face;лицо
he;он
people;люди
why;зачем
family;семья
help;помогите
place;место
will;будем
far;далеко
her;ее
put;положил
with;с
father;отец
here;вот
read;читать
word;слово
feel;чувствовать
him;его
right;правильно
work;работа
feet;ноги
fire;огонь
red;красный
build;строить
leave;оставлять
fish;рыба
remember;запомнить
building;здание
let's;давайте
rest;отдых
built;построен
list;список
food;питание
room;комната
can't;не может
longer;дольше
form;форма
run;бег
care;забота
low;низкий
school;школа
carefully;внимательно
main;главный
front;фронт
sea;море
carried;осуществляется
map;карта
gave;дал
second;второй
carry;нести
matter;дело
given;данный
seen;видели
center;центр
mind;разум
got;получил
sentence;предложение
check;проверить
miss;скучать
green;зеленый
several;несколько
class;класс
moon;луна
ground;земля
short;короткая
coming;приход
mountain;гора
group;группа
shown;показанный
common;общий
moving;перемещение
grow;расти
since;поскольку
complete;полный
music;музыка
half;половина
six;шесть
dark;темно
needed;необходимый
hand;рука
slide;горка
deep;глубоко
notice;уведомление
hard;жесткий
sometime;когда-то
distance;расстояние
outside;за пределами
heard;услышанным
soon;скоро
doing;дела
past;мимо
high;высокая
space;пространство
dry;сухой
pattern;шаблон
himself;сам
states;состояния
easy;легко
person;человек
however;однако
story;история
either;или
piece;кусок
i'll;больной
sun;солнце
else;еще
plant;растение
i'm;я
sure;конечно
everyone;все
poor;бедные
idea;идея
table;таблица
everything;все
possible;возможное
important;важный
though;хоть
fact;факт
power;мощность
inside;внутри
today;cегодня
fall;падать
probably;вероятно
john;джон
told;сказал
fast;быстро
problem;проблема
keep;держать
took;взял
felt;почувствовал
question;вопрос
kind;своего рода
top;вверх
field;поле
quickly;быстро
knew;знал
toward;к
finally;в конце концов
quite;довольно
known;известен
tree;дерево
fine;отлично
rain;дождь
land;земельные участки
try;пытаться
floor;пол
ran;побежал
later;позже
turn;очередь
follow;следовать
real;реальный
learn;учить
united;объединенный
foot;фут
river;река
let;позволять
until;до
friend;друг
road;дорога
letter;письмо
upon;на
full;полный
rock;камень
life;жизнь
using;с помощью
game;игра
round;круглый
light;легкий
usually;как правило
getting;получение
sat;сидел
live;жить
white;белый
girl;девушка
scientist;ученый
living;живой
whole;все
glass;стакан
shall;должен
making;изготовление
wind;ветер
goes;идет
ship;корабль
mean;имею в виду
without;без
gold;золото
simple;просто
means;означает
yes;да
gone;прошло
size;размер
money;деньги
yet;все же
happened;получилось
sky;небо
morning;утро
young;молодой
having;имеющий
slowly;медленно
mother;мама
alone;в одиночестве
heart;сердце
snow;снег
move;переехать
already;уже
heavy;тяжелый
someone;кто то
mrs.;г-жа.
although;несмотря на то что
held;ручной
special;особый
near;возле
am;я
hold;держать
stand;стоять
night;ночь
america;америка
horse;лошадь
start;начало
nothing;ничего
anything;что-нибудь
hot;горячий
state;государство
once;один раз
area;площадь
hour;час
stay;оставаться
open;открытый
ball;мяч
hundred;сто
stood;стоял
order;заказ
beautiful;красивая
ice;лед
stop;стоп
page;страница
beginning;начало
indian;индийский
stopped;остановился
paper;бумага
bill;билл
instead;вместо
strong;сильный
parts;части
birds;птицы
itself;сам
suddenly;вдруг, внезапно
perhaps;возможно
blue;синий
job;работа
summer;лето
picture;картина
boat;лодка
kept;хранится
surface;поверхность
play;играть
bottom;дно
language;язык
system;система
point;точка
box;коробка
lay;прокладывать
taken;взятый
ready;готов
bring;приносить
least;наименее
talk;говорить
tall;высокий
fun;весело
single;один
broken;сломанный
ten;10
george;джордж
skin;кожа
brother;брат
that's;это
government;правительство
sleep;спать
brown;коричневый
themselves;самих себя
grass;трава
smaller;меньше
busy;занятый
third;в третьих
grew;вырос
soft;мягкий
capital;столица
tiny;крошечный
hair;волосы
soil;почва
cat;кот
town;город
happy;счастливый
south;юг
cattle;крупный рогатый скот
tried;пытался
he's;он
speak;говорить
cause;причина
voice;голос
heat;высокая температура
speed;скорость
century;века
walk;ходить
history;история
spring;весна
chance;шанс
warm;тепло
human;человек
square;квадрат
clean;чистый
watch;смотреть
i've;я
star;звезда
clothes;одежда
weather;погода
inch;дюймовый
step;шаг
coast;берег
whether;будь то
information;информация
store;магазин
control;контроль
wide;широкий
iron;железо
straight;прямо
cool;круто
wild;дикий
jim;джим
strange;странный
corn;кукуруза
winter;зима
joe;джо
street;улица
corner;угол
within;в
king;король
subject;предмет
cover;обложка
writing;письмо
larger;больше
suppose;предполагать
cross;пересекать
written;написано
late;поздно
teacher;учитель
dan;дэн
age;возраст
leg;ножка
thousand;тысяча
dead;мертвый
ask;просить
length;длина
thus;таким образом
deal;по рукам
baby;детка
listen;слушать
tom;том
death;смерть
base;база
lost;потерял
travel;путешествовать
decide;принимать решение
beside;рядом
lot;много
trip;поездка
difficult;сложно
bright;яркий
lower;ниже
trouble;беда
doesn't;не
business;бизнес
machine;машина
unit;ед. изм
drive;водить машину
buy;купить
mark;отметка
village;деревня
engine;двигатель
case;дело
maybe;может быть
wall;стена
evening;вечер
catch;поймать
measure;измерение
war;война
farmer;фермер
caught;пойманный
meet;встретить
wasn't;не было
faster;быстрее
child;ребенок
middle;средний
week;неделю
fight;борьба
choose;выберите
milk;молоко
whose;чья
fill;заполнить
circle;круг
minute;минут
window;окно
finger;палец
clear;чисто
modern;современное
wish;желание
force;сила
color;цвет
moment;момент
women;женщины
forward;вперед
copy;копия
month;месяц
won't;не будет
france;франция
correct;верный
mouth;рот
wood;дерево
fresh;свежий
couldn't;не может
natural;натуральный
wrote;писал
garden;сад
difference;разница
nearly;около
yellow;желтый
general;генеральная
direction;направление
necessary;необходимо
you're;вы
glad;довольный
dried;высушенный
neyork;neyork
yourself;сам
greater;большая
easily;без труда
north;север
greatest;величайший
edge;край
object;объект
action;действие
guess;угадай
egg;яйцо
ocean;океан
addition;прибавление
happen;случаться
oil;масло
afraid;боюсь
henry;генри
energy;энергия
pay;платить
afternoon;после полудня
higher;выше
england;англия
per;в
ahead;впереди
hit;удар
especially;особенно
plan;план
amount;количество
hole;дыра
europe;европа
plane;самолет
ancient;древний
hope;надежда
exactly;в точку
present;настоящее время
anyone;кто угодно
huge;огромный
except;кроме
product;продукт
arm;рука
interest;интерес
explain;объяснять
rather;скорее
bad;плохо
island;остров
famous;известный
reach;достичь
bear;медведь
isn't;не
farm;ферма
reason;причина
beyond;за
jack;разъем
fell;упал
record;запись
bit;немного
lady;леди
figure;фигура
running;бег
blood;кровь
largest;крупнейший
flat;квартира
seems;кажется
board;доска
lead;вести
fly;летать
sent;послал
bob;боб
led;светодиод
forest;лес
seven;семь
born;родился
level;уровень
free;свободно
shape;форма
break;ломать
love;люблю
french;французский
sides;стороны
british;британская
mary;мэри
material;материал
washington;вашингтон
hat;шапка
student;студент
meant;имел ввиду
wave;волна
hill;холм
studied;изучал
meat;мясо
we'll;что ж
hurt;причинить боль
sugar;сахар
method;метод
weight;вес
i'd;я бы
television;телевидение
missing;отсутствует
west;запад
imagine;представить
term;срок
needs;потребности
wife;жена
include;включают
throughout;на протяжении
nor;ни
wouldn't;не будет
indeed;в самом деле
tired;устала
nose;нос
wrong;неправильно
johnny;джонни
total;всего
note;заметка
you'll;вы будете
joined;присоединился
touch;потрогать
opposite;напротив
according;в соответствии
key;ключ
trade;сделка
pair;пара
act;акт
kitchen;кухня
truck;грузовая машина
party;вечеринка
actually;на самом деле
knowledge;знание
twice;дважды
pass;проходить
africa;африка
law;закон
type;тип
period;период
alike;подобно
lie;ложь
uncle;дядя
please;пожалуйста
apart;кроме
major;главный
unless;если
position;должность
ate;ел
met;встретил
useful;полезным
pound;фунт
attention;внимание
metal;металл
value;стоимость
practice;практика
bank;банка
movement;движение
verb;глагол
pretty;симпатичная
basic;основной
nation;нация
visit;посещение
produce;производить
beat;бить
nature;природа
wear;носить
pull;вытащить
blow;дуть
what's;какой
quiet;тихо
bone;кость
none;никто
wheel;колесо
race;раса
bread;хлеб
office;офис
william;уильям
radio;радио
careful;осторожный
older;старшая
wing;крыло
region;область
chair;стул
onto;на
wire;провод
result;результат
chief;главный
original;оригинал
won;выиграл
return;вернуть
christmas;рождество
paragraph;параграф
wonder;задаваться вопросом
rich;богатые
church;церковь
parent;родитель
worker;работник
ride;поездка
cloth;ткань
particular;конкретный
yard;двор
ring;кольцо
cloud;облако
path;дорожка
alive;в живых
rule;правило
column;колонка
paul;павел
angry;сердитый
sand;песок
compare;сравнить
peter;питер
army;армия
science;наука
contain;содержать
pick;выбирать
average;в среднем
section;раздел
continued;продолжение
president;президент
bag;мешок
seed;семя
cost;стоимость
pressure;давление
band;группа
send;отправить
cotton;хлопок
process;обработать
billy;билли
sense;смысл
count;подсчитывать
public;общественности
branch;филиал
sets;наборы
dance;танец
quick;быстро
breakfast;завтрак
sharp;острый
describe;описывать
report;доклад
breath;дыхание
sight;взгляд
desert;пустыня
rope;веревка
broke;сломал
sign;знак
dinner;ужин
rose;роза
bus;автобус
silver;серебряный
doctor;врач
row;ряд
cabin;кабина
similar;аналогичный
dollar;доллар
safe;безопасно
california;калифорния
sit;сидеть
drop;падение
salt;поваренная соль
camp;лагерь
son;сын
dropped;упал
sam;сэм
captain;капитан
song;песня
ear;ухо
scale;масштаб
cell;клетка
spent;потраченный
east;восток
sell;продавать
cent;цент
spread;распространение
electric;электрический
separate;отдельный
certainly;безусловно
stick;придерживаться
element;элемент
sheep;овца
changing;изменения
stone;камень
enjoy;наслаждаться
shoe;башмак
closer;ближе
tail;хвост
equal;равный
shore;берег
coal;каменный уголь
team;команда
exercise;упражнение
simply;просто
coat;пальто
teeth;зубы
experiment;эксперимент
sing;петь
community;сообщество
temperature;температура
familiar;знакомые
sister;сестра
company;компания
test;контрольная работа
farther;дальше
sitting;сидящий
completely;полностью
there's;есть
fear;страх
sold;продан
compound;соединение
therefore;следовательно
forth;вперед
soldier;солдат
condition;состояние
thick;толстый
gas;газ
solve;решать
consider;рассматривать
thin;тонкий
giving;дающий
speech;речь
correctly;правильно
train;поезд
gray;серый
spend;проводить
crop;культура
various;различный
grown;взрослый
steel;стали
crowd;толпа
wait;подождите
hardly;едва
string;строка
current;текущий
danger;опасность
proper;правильный
beneath;под
model;модель
dear;уважаемые
proud;гордый
bigger;больше
mud;грязи
degree;степень
provide;предоставлять
bottle;бутылка
muscle;мускул
develop;развивать
purpose;цель
bowl;миска
nearby;рядом, поблизости
die;умереть
putting;сдачи
